Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WC - West Coast District Municipality (DC1),Male,0-4,15303.718380,15326.412425,15440.046739,15652.734470,15959.781009,16429.360886,17115.327385,17781.245842,18440.887131,19014.365176,19438.078762,19781.495495,20080.446755,20307.665615,20479.903656,20760.238980,21024.482608,21147.339715,21176.414546,21176.654557
WC - West Coast District Municipality (DC1),Male,5-9,15476.522501,15417.376954,15446.578658,15486.656180,15526.702246,15563.653047,15607.582794,15718.092990,15943.607785,16333.588275,16989.451091,17753.502091,18393.401751,18971.786172,19435.172144,19804.441565,20125.756429,20435.775520,20678.626205,20819.505982
WC - West Coast District Municipality (DC1),Male,10-14,15597.817164,15682.755806,15705.434752,15744.391292,15809.072498,15841.660010,15796.527137,15867.943038,15953.180585,15979.167981,15947.306818,15919.188788,16037.007905,16351.222250,16822.741984,17509.696253,18270.448495,18911.989767,19492.633351,19985.735348
WC - West Coast District Municipality (DC1),Male,15-19,14638.236644,15351.691746,15873.777499,16171.741112,16150.251808,16507.206301,16748.600526,16772.508895,16668.546015,16541.369155,16706.814884,16802.816609,16871.355077,16777.874582,16570.333879,16657.718483,16764.882802,16917.464384,17137.249411,17452.260686
WC - West Coast District Municipality (DC1),Male,20-24,12375.479378,13224.763570,14285.726075,15351.663681,16366.072869,17105.745327,17720.948238,18350.106715,18944.745045,19230.084611,19311.766117,19335.030162,19311.541072,19337.921646,19401.394705,19309.256679,19201.739463,19220.607536,19179.352981,19015.066195
WC - West Coast District Municipality (DC1),Male,25-29,13599.254667,13335.357534,13179.148027,13277.897362,13786.666778,14446.768646,15443.221282,16587.302447,17697.259965,18829.851054,19677.174711,20402.971495,21114.981228,21732.426039,22039.980889,22141.410689,22186.002045,22178.269319,22146.016902,22085.051564
WC - West Coast District Municipality (DC1),Male,30-34,14228.845170,14467.547077,14600.550799,14680.042726,14620.670961,14475.894116,14325.817769,14255.049467,14414.551912,14986.215341,15716.703694,16754.162455,17922.767175,19040.580040,20183.432250,21142.502710,21948.555054,22704.143778,23286.181912,23451.432558
WC - West Coast District Municipality (DC1),Male,35-39,12696.622138,13002.280467,13295.191518,13542.752435,13816.981157,14146.734707,14427.598232,14619.497035,14757.591618,14785.269734,14673.778610,14561.372032,14533.349853,14734.115147,15323.042993,16125.082696,17211.056722,18405.588493,19513.568585,20563.666092
WC - West Coast District Municipality (DC1),Male,40-44,10410.286785,10792.826410,11199.876739,11605.664581,11980.042736,12261.569781,12522.051508,12821.279555,13128.333025,13519.651228,13837.346514,14122.471645,14355.593142,14568.500346,14666.056299,14594.236629,14525.417865,14557.232351,14822.536091,15400.696089
WC - West Coast District Municipality (DC1),Male,45-49,8754.846742,8903.840253,9042.760006,9219.266656,9469.024131,9762.821282,10126.741658,10507.749729,10892.283207,11288.984716,11614.371319,11923.778359,12257.538201,12578.239898,12960.422462,13348.718723,13686.300781,13931.965834,14137.603540,14168.277209
WC - West Coast District Municipality (DC1),Male,50-54,6845.566175,7121.772561,7399.671721,7641.130682,7826.603323,7976.931399,8116.172585,8258.889789,8453.159016,8734.625030,9035.364030,9396.025404,9771.169968,10141.886918,10508.345235,10842.104587,11168.044443,11507.892234,11836.893370,12147.868315
WC - West Coast District Municipality (DC1),Male,55-59,5412.431447,5481.161347,5579.174988,5725.634728,5928.584685,6149.209341,6385.562595,6645.609989,6904.637956,7140.186952,7284.835336,7423.236001,7574.845433,7774.224446,8041.462746,8298.078676,8602.613532,8923.434858,9258.275784,9534.000191
WC - West Coast District Municipality (DC1),Male,60-64,4443.034605,4443.045657,4468.677630,4503.508560,4555.292593,4607.387604,4680.016023,4776.985935,4921.445050,5129.069569,5352.959597,5589.093967,5834.904777,6060.525870,6253.584594,6386.439660,6507.700923,6627.283006,6778.538788,6887.514371
WC - West Coast District Municipality (DC1),Male,65-69,3644.901376,3607.731663,3581.318990,3561.262523,3539.231448,3524.970301,3532.884394,3561.793139,3609.282993,3680.905680,3738.347807,3812.777071,3909.745450,4040.614429,4212.721935,4383.678459,4567.249919,4757.601330,4929.909302,4985.446095
WC - West Coast District Municipality (DC1),Male,70-74,2382.448710,2467.206159,2512.335103,2529.497085,2522.109319,2507.484507,2497.248892,2510.573984,2539.045682,2568.176234,2584.453934,2610.001006,2640.625958,2673.732529,2718.294919,2731.043031,2749.630098,2794.704540,2876.238083,2928.710965
WC - West Coast District Municipality (DC1),Male,75-79,1304.378898,1251.041453,1237.382032,1261.474160,1326.091113,1364.798482,1399.914884,1417.805465,1437.489937,1453.606639,1446.848754,1453.484286,1478.158010,1512.335369,1549.336151,1596.393942,1626.123940,1630.302691,1622.356220,1532.447031
WC - West Coast District Municipality (DC1),Male,80+,623.239323,651.876666,677.193173,707.231000,744.844947,732.911848,720.651005,708.623108,699.236596,691.554135,672.190565,652.744777,632.244673,615.811443,602.910795,619.168523,635.821703,652.557431,668.992892,683.800131
WC - West Coast District Municipality (DC1),Female,0-4,15392.434759,15419.781444,15546.317952,15780.545578,16111.986277,16521.046175,17141.339085,17729.679712,18284.185721,18742.229811,19082.965427,19392.232091,19693.675019,19946.240445,20154.506919,20451.619976,20710.086151,20815.830293,20818.153662,20771.538883
WC - West Coast District Municipality (DC1),Female,5-9,15676.881045,15636.983296,15669.662278,15715.141632,15760.765218,15736.703183,15712.556341,15752.565166,15914.355709,16246.661400,16873.581646,17573.381295,18131.133303,18628.228403,19006.326266,19310.386988,19599.693297,19908.725474,20166.976107,20316.903113
WC - West Coast District Municipality (DC1),Female,10-14,15838.307090,16023.457872,16100.008553,16155.532698,16214.592517,16216.919509,16145.180406,16144.947257,16133.212659,16056.356704,16004.831995,15958.643874,16034.589772,16277.367786,16672.838057,17357.798061,18096.074754,18662.098806,19134.807944,19505.942489
WC - West Coast District Municipality (DC1),Female,15-19,14747.221929,15655.166514,16368.374754,16838.032128,16958.128998,17139.501072,17249.887559,17217.229868,17130.761554,17040.529394,17110.823332,17124.657397,17153.355659,17071.198873,16898.325940,16875.731876,16893.130383,17008.820490,17239.809899,17582.506784
WC - West Coast District Municipality (DC1),Female,20-24,12483.421147,13417.509668,14567.761920,15776.983459,16939.271414,17551.167992,18087.010011,18585.607799,19016.700727,19179.223261,19214.688176,19216.638267,19189.478177,19204.752003,19262.685946,19170.831816,19056.109878,19040.391444,18971.181833,18801.954076
