Name ,Sex,Age,2022,2023,2024,2025,2026
WC - West Coast District Municipality (DC1),Male,0-4,21119.485841,21003.394747,20903.295357,20844.824494,20844.520902
WC - West Coast District Municipality (DC1),Male,5-9,21024.480277,21219.410250,21350.680550,21462.162589,21611.764380
WC - West Coast District Municipality (DC1),Male,10-14,20398.446364,20717.637101,21017.258956,21246.617783,21367.898696
WC - West Coast District Municipality (DC1),Male,15-19,18333.212511,19272.423713,19959.916008,20460.021369,20814.997721
WC - West Coast District Municipality (DC1),Male,20-24,18836.286793,18801.177469,19005.566631,19457.585894,20053.076532
WC - West Coast District Municipality (DC1),Male,25-29,21843.052605,21580.907265,21463.809910,21378.395929,21322.563466
WC - West Coast District Municipality (DC1),Male,30-34,23542.342186,23547.088563,23451.211201,23362.147135,23322.604733
WC - West Coast District Municipality (DC1),Male,35-39,21496.396209,22284.996906,23005.240746,23577.968251,23790.366303
WC - West Coast District Municipality (DC1),Male,40-44,16108.323360,17112.483463,18252.146825,19369.299730,20508.374369
WC - West Coast District Municipality (DC1),Male,45-49,14109.657456,14050.405462,14057.469245,14278.369239,14858.995259
WC - West Coast District Municipality (DC1),Male,50-54,12509.883188,12835.110845,13075.332977,13272.087333,13342.645981
WC - West Coast District Municipality (DC1),Male,55-59,9829.504157,10147.919739,10493.847826,10837.920543,11210.341331
WC - West Coast District Municipality (DC1),Male,60-64,7107.432354,7401.732495,7710.686087,8035.028409,8364.965968
WC - West Coast District Municipality (DC1),Male,65-69,5051.232313,5147.201178,5269.303849,5443.397739,5664.516531
WC - West Coast District Municipality (DC1),Male,70-74,3050.963813,3194.335476,3330.603269,3452.636378,3558.175603
WC - West Coast District Municipality (DC1),Male,75-79,1487.050226,1476.177143,1497.088202,1555.393421,1651.299337
WC - West Coast District Municipality (DC1),Male,80+,636.778739,590.409798,547.023532,506.280832,466.923648
WC - West Coast District Municipality (DC1),Female,0-4,20678.934922,20554.785590,20473.790589,20440.124779,20460.066056
WC - West Coast District Municipality (DC1),Female,5-9,20525.763443,20706.951834,20805.235358,20883.071140,21014.266096
WC - West Coast District Municipality (DC1),Female,10-14,19881.035155,20207.664850,20512.803289,20720.425525,20799.881136
WC - West Coast District Municipality (DC1),Female,15-19,18364.973650,19198.552929,19809.440206,20284.368785,20627.064785
WC - West Coast District Municipality (DC1),Female,20-24,18609.342094,18546.165047,18717.039018,19128.497439,19704.980398
WC - West Coast District Municipality (DC1),Female,25-29,20971.373731,20717.901740,20580.708583,20465.233930,20380.056893
WC - West Coast District Municipality (DC1),Female,30-34,22214.767143,22241.172244,22164.608850,22068.220578,21995.328794
WC - West Coast District Municipality (DC1),Female,35-39,20813.944413,21495.186786,22093.668924,22559.698243,22711.129269
WC - West Coast District Municipality (DC1),Female,40-44,16134.767972,17115.243412,18201.904408,19270.255269,20304.337778
WC - West Coast District Municipality (DC1),Female,45-49,14106.098322,14114.608631,14202.918614,14488.540477,15089.017999
WC - West Coast District Municipality (DC1),Female,50-54,13244.029822,13357.418850,13430.723641,13497.059330,13606.990607
WC - West Coast District Municipality (DC1),Female,55-59,11507.487192,11858.052726,12212.750450,12493.041745,12680.686063
WC - West Coast District Municipality (DC1),Female,60-64,9054.163233,9400.832340,9737.327990,10107.466570,10501.678003
WC - West Coast District Municipality (DC1),Female,65-69,6366.500465,6685.929028,7024.686658,7379.410585,7739.210065
WC - West Coast District Municipality (DC1),Female,70-74,4370.727589,4429.696287,4543.938825,4714.405437,4939.718993
WC - West Coast District Municipality (DC1),Female,75-79,2637.360882,2799.135882,2917.595495,2987.082993,3005.408360
WC - West Coast District Municipality (DC1),Female,80+,999.535065,1005.880105,1018.527035,1034.913989,1054.723366
WC - Cape Winelands District Municipality (DC2),Male,0-4,41107.353170,41162.138875,41180.584524,41214.820061,41332.479496
