Dis_code,Age,Sex,District,Local,Loc_Code,Province_Code,Dis_Cod,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
DC10,0-4,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,3842.17125316495,3806.19328632535,3801.29029155354,3822.24123374299,3862.4693666809,3973.01701199776,4104.62081788712,4201.1804286314,4270.86905135403,4307.22994232771,4268.76932207503,4150.18784618949,3971.39996280902,3744.90194242814,3498.76389234715,3283.0290806405,3118.36062031442,3001.82310132933,2928.91743065601,2888.14658939327,2813.43270657437,2723.15462695343,2623.09223555758,2516.51839291537,2410.58825218208,2350.7158105177,2287.82766002464,2220.94864562038,2150.29714975087,2079.25140036758
DC10,5-9,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4239.79610931998,4103.39777827714,4009.1381623152,3932.83673348586,3866.24698638202,3810.9301397785,3790.79958356635,3816.6444579907,3885.24413426656,3985.24707405278,4135.11095335019,4316.74188489151,4467.2237599095,4585.57496080632,4637.8072467474,4609.81888243698,4516.32231497934,4366.14719919006,4174.03178633284,3983.01368391572,3832.51904713362,3714.64181458998,3619.49301821475,3542.4866789248,3471.96397324746,3381.52545232318,3297.48780969768,3224.01074846855,3159.37163074052,3098.38060588468
DC10,10-14,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4738.57800325057,4646.82064500768,4535.7278422981,4435.18182949181,4358.06681467295,4247.13803872671,4140.79925509539,4075.59687748304,4030.39413979455,4001.41280655261,3955.65810119975,3950.6869312232,4000.36964655777,4109.14109394948,4272.43802782337,4463.41672464697,4701.13474138775,4913.08090785935,5080.99222473324,5171.96491764969,5131.12223567624,5037.64981466505,4912.395737875,4774.53675269023,4648.58381605352,4518.12650244612,4421.82145505126,4344.64291698927,4288.48733343881,4257.87575523845
DC10,15-19,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4299.23080136464,4382.36212810184,4457.71165302944,4503.74119319282,4470.64806432598,4392.39338601959,4291.29662746461,4175.93718542328,4076.98881287239,4001.81744749932,3866.85629277327,3738.4807443326,3659.44153546841,3608.86830423241,3580.27946738386,3509.77663520995,3470.09442562144,3495.50501367661,3591.37379022382,3742.66584716463,3883.0182543053,4061.5262785866,4227.49189023329,4366.50500268005,4448.36252744575,4396.01266387405,4292.27947557657,4179.14454920503,4075.66472683862,3987.61511505613
DC10,20-24,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2818.65231147144,2950.39099189576,3085.9991854353,3200.69760472211,3313.24241700572,3419.20339582057,3489.31266660903,3537.03656605364,3549.02762538331,3493.22187940489,3430.19265857822,3335.65529377892,3210.66851621033,3081.2241111321,2966.54268764886,2881.44678153491,2786.46335339924,2702.37744020859,2609.09171700752,2516.58247945721,2481.03268340871,2454.19037440089,2446.62401898997,2464.91248336609,2515.61070692015,2658.12515800606,2811.25103294078,2921.46023994508,2978.41294865788,2982.57070754689
DC10,25-29,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2516.82663126319,2482.33099154709,2449.48477079199,2440.81917409811,2479.74843496514,2565.37532625304,2683.39956237209,2801.92498994922,2898.53701473236,2987.50185962601,3069.95252769887,3120.24047847365,3146.85154918524,3134.21902810793,3053.9786855083,2996.11975700234,2911.59658249809,2798.79882732873,2668.59524316883,2529.98678832418,2428.48386817199,2326.89880417897,2239.15051680021,2151.75174800374,2064.15310320801,2020.41307381446,1991.3093067746,1984.67072942509,2002.80094744716,2038.78881653632
DC10,30-34,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2556.1548804948,2603.50640910741,2641.03553704235,2670.2849992754,2665.52024149431,2627.44546168006,2588.61592637476,2563.38633594321,2571.86150700387,2634.23897137791,2704.51615453905,2812.40744259677,2934.85993269995,3044.80762616642,3147.45615022627,3217.59477860953,3264.2423121028,3303.81505850705,3311.65031640651,3242.67361513798,3146.34852646981,3031.10821647989,2903.05829834423,2782.41260088967,2672.47728111755,2553.55030477462,2440.61015580628,2353.55807749284,2279.10232901092,2212.74355119625
DC10,35-39,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2266.03727001844,2281.27936771923,2301.15812295895,2323.23086118691,2361.68763624676,2402.92847508206,2444.71511133503,2477.34605930129,2501.69296889659,2505.46047067203,2481.78169449095,2455.33769828796,2438.00309519753,2449.69444486592,2513.14636719198,2595.1424223152,2709.83324771769,2832.81857993576,2937.74663616788,3030.78219080206,3094.25758290661,3136.1213224135,3166.05737316011,3167.868479453,3110.36455123202,3028.44097070256,2926.79342463553,2808.99374771913,2695.19550256604,2595.00417223794
DC10,40-44,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2046.854566978,2075.94149090447,2107.37251620679,2138.35905443522,2166.79409209913,2180.22683066982,2190.04367944753,2207.8459845653,2232.27292235158,2280.82384938127,2338.44698375453,2397.57651619183,2449.67111594644,2494.91932122785,2515.72086501368,2513.08209307049,2504.66129724622,2503.51783921206,2530.45653519019,2599.39239412189,2687.89253180518,2810.18330775235,2939.89031522392,3056.09790350537,3170.92919846132,3255.37456878633,3316.58580589948,3365.91451211586,3385.74723812364,3343.12978124601
DC10,45-49,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1923.63636170288,1910.91602771181,1894.88499046592,1884.94349932136,1887.31088932962,1892.85700810853,1910.16611421126,1930.13910825233,1951.39747843168,1975.53864885397,1995.8589906469,2013.78633317333,2039.03550623664,2069.30176796489,2118.62953651273,2181.51506623834,2243.97090489793,2295.59265492648,2338.98749063138,2347.36831984048,2338.77425988957,2325.13623513079,2316.76701281429,2335.49791347144,2400.94125070814,2481.80597112398,2590.73959622184,2705.06211159665,2806.6198554379,2908.05240772763
