muni_code,pop_2011
CPT,3740030.748088
WC011,67146.793600
WC012,49767.805880
WC013,61896.757960
WC014,99192.875950
WC015,113762.129360
WC022,115945.942780
WC023,251261.973050
WC024,155727.870270
WC025,166825.380970
WC026,97724.401050
WC031,108864.340000
WC032,80357.708920
WC033,33037.815490
WC034,35915.968740
WC041,24766.717040
WC042,52642.065550
WC043,89430.404410
WC044,193671.725270
WC045,95933.489320
WC047,49161.866410
WC048,68658.581820
WC051,8289.205320
WC052,13135.745580
WC053,49586.018020
BUF,781026.869611
EC101,79291.881080
EC102,36001.799200
EC104,80389.627410
EC105,61175.968320
EC106,54503.887570
EC108,98557.835910
EC109,40663.230470
EC121,261773.103890
EC122,245526.060250
EC123,30832.091720
EC124,101034.517720
EC126,65247.894620
EC129,151379.198380
EC131,65559.865000
EC135,151587.369070
EC137,155513.013250
EC138,62284.069140
EC139,250776.001920
EC136,120757.963780
EC141,137039.423380
EC142,134150.447210
EC145,77476.761180
EC153,278480.990590
EC154,156136.215030
EC155,290389.846990
EC156,190750.851350
EC157,450286.759909
EC441,203842.553890
EC442,191775.067620
EC443,281905.057600
EC444,123821.400150
NMA,1152115.430052
NC451,89530.127410
NC452,93651.490260
NC453,41616.940110
NC061,11982.430300
NC062,47041.185140
NC064,10187.001750
NC065,21684.253360
NC066,12500.688650
NC067,12446.457050
NC071,18600.864990
NC072,28376.289140
NC073,42355.852320
NC074,11673.014480
NC075,10978.238800
NC076,15700.518460
NC077,21590.805730
NC078,37075.567390
NC082,65868.891730
NC084,16637.147410
NC085,35093.088770
NC086,18686.755390
NC087,100497.517540
NC091,248040.591270
NC092,46840.726320
NC093,24204.206930
NC094,63000.094080
FS161,38628.382200
FS162,49170.522230
FS163,34145.786510
FS181,59895.271690
FS182,28986.320650
FS183,47625.088230
FS184,407019.574399
FS185,81219.882940
FS191,112038.134880
FS192,128703.656830
FS193,60324.455080
FS194,335783.929030
FS195,47772.440500
FS196,51056.451630
FS204,149107.944840
FS205,57875.616760
FS201,160532.014540
FS203,120520.339200
MAN,775183.973279
KZN212,130413.428810
KZN213,153406.679200
KZN214,96556.159290
KZN216,308675.151760
KZN221,106387.843280
KZN222,93858.346750
KZN224,30381.776040
KZN225,621792.594370
KZN226,54933.043670
KZN227,65539.774380
KZN223,34912.731760
KZN235,132067.795610
KZN237,196226.775590
KZN238,339776.946210
KZN241,64862.002060
KZN242,165306.576040
KZN244,169144.945140
KZN245,114714.777840
KZN252,363235.954220
KZN253,34441.967300
KZN254,102937.345520
KZN261,82052.626400
KZN262,123584.089310
KZN263,214713.676240
KZN265,194907.628080
KZN266,188316.559230
KZN271,156772.011950
KZN272,186502.285400
KZN275,175424.924260
KZN276,107146.729090
KZN281,133161.441950
KZN282,362777.645660
KZN284,213601.390820
KZN285,83562.519030
KZN286,114416.182640
KZN291,138078.219280
KZN292,231187.405340
KZN293,140819.576230
KZN294,96724.129470
KZN433,65981.111210
KZN434,110925.202330
KZN435,180301.670460
KZN436,110084.374780
ETH,3476686.405138
NW371,188532.589280
NW372,475795.563870
NW373,549574.650280
NW374,51048.998420
NW375,242553.556410
NW381,107338.528050
NW383,291526.857420
NW384,166951.598700
NW385,152664.134460
NW382,124217.603910
NW392,66780.798030
NW393,60355.097020
NW394,177642.314950
NW396,53248.416180
NW397,105788.606130
NW403,398675.642120
NW404,77794.179520
NW405,219463.379400
GT422,95300.544010
GT421,721662.634740
GT423,99520.368760
GT481,362421.746690
GT484,197519.917190
GT485,261053.045500
EKU,3178470.161451
JHB,4434826.970148
TSH,2921487.549973
MP301,186010.287430
MP302,149377.338140
MP303,171981.976720
MP304,83235.080120
MP305,115661.610490
MP306,42390.042980
MP307,294537.757780
MP311,75451.957270
MP312,395466.285250
MP313,229831.453400
MP314,47216.112870
MP315,310458.180240
MP316,249705.314420
MP321,98387.245530
MP325,538593.376720
MP324,393030.275300
MP326,658604.433800
LIM331,244217.150740
LIM332,212701.056590
LIM333,389623.465650
LIM334,150637.309800
LIM335,95328.352940
LIM341,104654.549350
LIM343,459986.710080
LIM344,401444.785330
LIM345,328636.037350
LIM355,231239.201270
LIM351,175084.711740
LIM353,126506.105410
LIM354,728632.512099
LIM361,85234.223520
LIM362,118863.795520
LIM366,66499.984160
LIM367,304585.330990
LIM368,104152.702480
LIM471,123648.203240
LIM472,249363.279210
LIM473,274879.904910
LIM476,428948.337140
