sal_code,muni_code
1600001,WC011
1600002,WC011
1600003,WC011
1600004,WC011
1600005,WC011
1600006,WC011
1600007,WC011
1600008,WC011
1600009,WC011
1600010,WC011
1600011,WC011
1600012,WC011
1600013,WC011
1600014,WC011
1600015,WC011
1600016,WC011
1600017,WC011
1600018,WC011
1600019,WC011
1600020,WC011
1600021,WC011
1600022,WC011
1600023,WC011
1600024,WC011
1600025,WC011
1600026,WC011
1600027,WC011
1600028,WC011
1600029,WC011
1600030,WC011
1600031,WC011
1600032,WC011
1600033,WC011
1600034,WC011
1600035,WC011
1600036,WC011
1600037,WC011
1600038,WC011
1600039,WC011
1600040,WC011
1600041,WC011
1600042,WC011
1600043,WC011
1600044,WC011
1600045,WC011
1600046,WC011
1600047,WC011
1600048,WC011
1600049,WC011
1600050,WC011
1600051,WC011
1600052,WC011
1600053,WC011
1600054,WC011
1600055,WC011
1600056,WC011
1600057,WC011
1600058,WC011
1600059,WC011
1600060,WC011
1600061,WC011
1600062,WC011
1600063,WC011
1600064,WC011
1600065,WC011
1600066,WC011
1600067,WC011
1600068,WC011
1600069,WC011
1600070,WC011
1600071,WC011
1600072,WC011
1600073,WC011
1600074,WC011
1600075,WC011
1600076,WC011
1600077,WC011
1600078,WC011
1600079,WC011
1600080,WC011
1600081,WC011
1600082,WC011
1600083,WC011
1600084,WC011
1600085,WC011
1600086,WC011
1600087,WC011
1600088,WC011
1600089,WC011
1600090,WC011
1600091,WC011
1600092,WC011
1600093,WC011
1600094,WC011
1610001,WC012
1610002,WC012
1610003,WC012
1610004,WC012
1610005,WC012
1610006,WC012
1610007,WC012
1610008,WC012
1610009,WC012
1610010,WC012
1610011,WC012
1610012,WC012
1610013,WC012
1610014,WC012
1610015,WC012
1610016,WC012
1610017,WC012
1610018,WC012
1610019,WC012
1610020,WC012
1610021,WC012
1610022,WC012
1610023,WC012
1610024,WC012
1610025,WC012
1610026,WC012
1610027,WC012
1610028,WC012
1610029,WC012
1610030,WC012
1610031,WC012
1610032,WC012
1610033,WC012
1610034,WC012
1610035,WC012
1610036,WC012
1610037,WC012
1610038,WC012
1610039,WC012
1610040,WC012
1610041,WC012
1610042,WC012
1610043,WC012
1610044,WC012
1610045,WC012
1610046,WC012
1610047,WC012
1610048,WC012
1610049,WC012
1610050,WC012
1610051,WC012
1610052,WC012
1610053,WC012
1610054,WC012
1610055,WC012
1610056,WC012
1610057,WC012
1610058,WC012
1610059,WC012
1620001,WC013
1620002,WC013
1620003,WC013
1620004,WC013
1620005,WC013
1620006,WC013
1620007,WC013
1620008,WC013
1620009,WC013
1620010,WC013
1620011,WC013
1620012,WC013
1620013,WC013
1620014,WC013
1620015,WC013
1620016,WC013
1620017,WC013
1620018,WC013
1620019,WC013
1620020,WC013
1620021,WC013
1620022,WC013
1620023,WC013
1620024,WC013
1620025,WC013
1620026,WC013
1620027,WC013
1620028,WC013
1620029,WC013
1620030,WC013
