sal_code,pop
"2610024",378
"2610045",534
"2610051",619
"2610002",159
"2610003",159
"2610004",162
"2610005",164
"2610006",192
"2610007",201
"2610008",214
"2610009",229
"2610010",231
"2610011",242
"2610012",271
"2610013",280
"2610014",290
"2610018",319
"2610022",362
"2610026",387
"2610027",395
"2610033",439
"2610048",583
"2610054",641
"2610055",642
"2610015",308
"2610019",324
"2610023",362
"2610025",383
"2610031",432
"2610034",440
"2610038",467
"2610042",488
"2610043",489
"2610050",591
"2610020",350
"2610039",468
"2610044",521
"2610058",686
"2610061",713
"2610072",834
"2610075",905
"2610076",933
"2610077",965
"2610079",985
"2610083",1044
"2610084",1093
"2610085",1117
"2610086",1246
"2610087",1388
"2610088",1405
"2610065",727
"2610070",793
"2610074",893
"2610078",981
"2610080",986
"2610082",1014
"2610029",401
"2610028",396
"2610035",443
"2610081",1008
"2610037",464
"2610041",483
"2610046",563
"2610047",584
"2610049",588
"2610052",629
"2610053",631
"2610056",654
"2610062",714
"2610063",720
"2610066",743
"2610067",744
"2610068",776
"2610071",793
"2610017",319
"2610059",695
"2610030",406
"2610057",666
"2610060",701
"2610064",721
"2610069",789
"2610073",836
"2610016",310
"2610021",356
"2610032",436
"2610036",452
"2610040",475
"2610001",57
"2620032",500
"2620043",550
"2620061",662
"2620040",539
"2620051",573
"2620059",611
"2620016",339
"2620018",346
"2620022",396
"2620044",551
"2620062",664
"2620065",729
"2620073",1054
"2620002",19
"2620011",303
"2620017",345
"2620019",350
"2620029",472
"2620030",476
"2620034",508
"2620035",510
"2620038",524
"2620046",557
"2620049",559
"2620055",593
"2620067",782
"2620003",66
"2620028",453
"2620045",552
"2620047",557
"2620048",557
"2620066",773
"2620069",826
"2620070",837
"2620012",308
"2620031",481
"2620033",500
"2620037",518
"2620039",538
"2620052",576
"2620058",608
"2620068",797
"2620071",881
"2620024",405
"2620025",405
"2620042",540
"2620053",577
"2620054",592
"2620060",618
"2620063",672
"2620001",17
"2620026",437
"2620015",328
"2620014",317
"2620064",712
"2620004",81
"2620005",166
"2620006",173
"2620007",177
"2620008",190
"2620009",238
"2620010",249
"2620013",314
"2620020",378
"2620021",380
"2620023",400
"2620027",437
"2620036",515
"2620041",539
"2620050",568
"2620056",601
"2620057",604
"2620072",1024
"2630010",383
"2630020",751
"2630014",613
"2630016",632
"2630017",639
"2630022",917
"2630011",511
"2630013",543
"2630015",624
"2630002",194
"2630003",218
"2630004",227
"2630005",245
"2630008",345
"2630019",690
"2630009",368
"2630012",543
"2630018",642
"2630006",317
"2630007",345
"2630021",752
"2630001",40
"2640114",690
"2640002",63
"2640005",170
"2640006",239
"2640007",240
"2640008",275
"2640010",325
"2640029",395
"2640050",522
"2640067",554
"2640093",629
"2640130",899
"2640133",1065
"2640135",1190
"2640137",1845
"2640001",38
"2640044",496
"2640052",530
"2640054",532
"2640055",535
"2640056",536
"2640058",536
"2640059",537
"2640065",552
"2640071",576
"2640073",583
"2640080",593
"2640081",595
"2640082",596
"2640085",600
"2640086",602
"2640106",669
"2640109",677
"2640110",677
"2640111",678
"2640113",689
"2640117",705
"2640120",719
"2640121",722
"2640122",724
"2640123",759
"2640126",813
"2640127",818
"2640025",383
"2640038",480
"2640047",501
"2640048",503
"2640060",539
"2640061",544
"2640074",586
"2640079",590
"2640087",602
"2640098",644
"2640105",666
"2640107",671
"2640108",673
"2640116",705
"2640124",768
"2640128",852
"2640131",901
"2640084",598
"2640042",494
"2640043",496
"2640045",498
"2640062",544
"2640070",563
"2640076",586
"2640094",630
"2640099",648
"2640102",658
"2640104",664
"2640118",709
"2640040",488
"2640063",545
"2640089",608
"2640119",716
"2640053",531
"2640035",446
"2640095",632
"2640097",643
"2640129",875
"2640134",1104
"2640016",342
"2640030",413
"2640092",616
"2640009",304
"2640011",325
"2640013",329
"2640017",344
"2640020",350
"2640021",356
"2640022",367
"2640023",382
"2640024",383
"2640027",388
"2640031",414
"2640032",430
"2640036",449
"2640037",454
"2640046",499
"2640075",586
"2640078",588
"2640083",597
"2640096",635
"2640103",663
"2640115",699
"2640068",557
"2640049",504
"2640034",444
"2640039",487
"2640041",491
"2640132",1038
"2640014",332
"2640015",338
"2640028",390
"2640033",434
"2640051",523
"2640069",560
"2640100",654
"2640125",784
"2640019",345
"2640026",387
"2640057",536
"2640066",553
"2640072",577
"2640088",607
"2640090",612
"2640091",615
"2640064",550
"2640004",115
"2640138",2584
"2640101",655
"2640136",1277
"2640012",327
"2640018",344
"2640077",589
"2640112",680
"2640003",115
"2650003",51
"2650011",306
"2650029",374
"2650010",304
"2650025",356
"2650040",424
"2650044",445
"2650045",445
"2650049",464
"2650053",484
"2650056",499
"2650063",530
"2650065",538
"2650077",563
"2650083",578
"2650004",157
"2650005",157
"2650008",275
"2650013",314
"2650021",341
"2650032",395
"2650046",446
"2650050",470
"2650055",496
"2650113",695
"2650117",933
"2650118",937
"2650120",1075
"2650009",296
"2650033",398
"2650061",529
"2650067",545
"2650068",546
"2650069",548
"2650071",549
"2650075",557
"2650082",577
"2650089",599
"2650093",605
"2650094",609
"2650095",614
"2650097",617
"2650099",627
"2650101",631
"2650102",649
"2650103",651
"2650104",652
"2650105",658
"2650106",660
"2650107",662
"2650110",680
"2650112",695
"2650114",734
"2650115",741
"2650116",777
"2650121",1223
"2650023",345
"2650035",403
"2650007",229
"2650015",328
"2650016",330
"2650022",345
"2650028",360
"2650031",388
"2650079",571
"2650119",985
"2650054",494
"2650076",558
"2650080",572
"2650091",604
"2650100",628
"2650108",664
"2650111",681
"2650001",37
"2650042",439
"2650058",506
"2650064",531
"2650074",557
"2650088",595
"2650019",339
"2650036",407
"2650034",401
"2650057",504
"2650060",523
"2650062",530
"2650070",549
"2650073",556
"2650084",579
"2650086",586
"2650087",593
"2650092",604
"2650096",615
"2650109",672
"2650002",39
"2650085",583
"2650012",314
"2650018",338
"2650020",339
"2650024",351
"2650027",358
"2650037",414
"2650038",415
"2650039",419
"2650048",460
"2650051",475
"2650066",539
"2650078",568
"2650081",574
"2650017",333
"2650026",356
"2650030",382
"2650041",430
"2650043",441
"2650047",447
"2650052",476
"2650059",519
"2650072",553
"2650090",600
"2650098",618
"2650014",318
"2650006",214
"2660073",782
"2660076",840
"2660009",344
"2660025",452
"2660034",521
"2660046",584
"2660077",851
"2660079",990
"2660004",245
"2660005",260
"2660006",315
"2660007",317
"2660008",323
"2660010",363
"2660012",376
"2660013",380
"2660020",434
"2660038",542
"2660056",642
"2660065",701
"2660080",1731
"2660081",2516
"2660082",2850
"2660083",4064
"2660017",419
"2660070",746
"2660021",443
"2660027",475
"2660037",536
"2660044",571
"2660053",626
"2660058",647
"2660061",662
"2660062",664
"2660063",669
"2660067",715
"2660016",418
"2660019",432
"2660028",477
"2660031",496
"2660042",563
"2660001",103
"2660022",444
"2660024",448
"2660003",230
"2660002",159
"2660011",368
"2660032",501
"2660035",523
"2660039",549
"2660041",559
"2660048",591
"2660057",645
"2660066",710
"2660071",749
"2660015",411
"2660023",447
"2660026",463
"2660029",478
"2660030",484
"2660033",511
"2660036",530
"2660047",589
"2660049",599
"2660050",601
"2660051",614
"2660052",615
"2660055",638
"2660059",651
"2660064",681
"2660068",716
"2660074",831
"2660075",835
"2660014",393
"2660018",430
"2660040",558
"2660043",566
"2660045",574
"2660054",635
"2660060",659
"2660069",738
"2660072",781
"2660078",905
"2670025",476
"2670032",590
"2670001",119
"2670002",153
"2670003",172
"2670004",173
"2670005",186
"2670006",190
"2670007",203
"2670008",244
"2670009",251
"2670010",264
"2670011",274
"2670012",275
"2670013",282
"2670019",386
"2670020",404
"2670021",408
"2670041",1017
"2670023",456
"2670024",469
"2670027",527
"2670028",538
"2670030",568
"2670031",579
"2670035",622
"2670036",633
"2670029",553
"2670038",713
"2670039",722
"2670014",314
"2670017",373
"2670034",606
"2670026",483
"2670033",606
"2670040",746
"2670015",348
"2670016",352
"2670018",377
"2670022",444
"2670037",661
"2680071",594
"2680082",645
"2680101",742
"2680113",797
"2680115",808
"2680129",957
"2680014",259
"2680045",460
"2680010",159
"2680012",197
"2680021",328
"2680022",328
"2680060",537
"2680088",683
"2680095",718
"2680134",974
"2680139",1054
"2680142",1367
"2680144",1462
"2680147",2324
"2680149",3912
"2680005",48
"2680004",43
"2680007",107
"2680008",140
"2680042",439
"2680094",718
"2680105",758
"2680111",790
"2680126",896
"2680136",997
"2680078",613
"2680096",721
"2680104",755
"2680107",760
"2680097",730
"2680100",737
"2680121",884
"2680057",522
"2680058",532
"2680065",568
"2680119",855
"2680131",965
"2680132",968
"2680011",191
"2680031",366
"2680073",606
"2680084",655
"2680081",644
"2680009",153
"2680006",70
"2680080",624
"2680083",652
"2680099",737
"2680033",377
"2680063",552
"2680067",576
"2680076",612
"2680085",656
"2680087",677
"2680093",712
"2680098",735
"2680102",750
"2680103",755
"2680108",761
"2680109",767
"2680110",774
"2680114",802
"2680120",877
"2680125",896
"2680127",900
"2680128",906
"2680146",1857
"2680018",310
"2680037",394
"2680039",396
"2680047",463
"2680091",705
"2680117",829
"2680016",294
"2680019",320
"2680024",334
"2680032",376
"2680041",431
"2680043",444
"2680046",461
"2680050",488
"2680052",502
"2680055",513
"2680056",518
"2680066",575
"2680069",584
"2680074",608
"2680079",621
"2680089",700
"2680140",1096
"2680023",332
"2680053",502
"2680059",533
"2680017",301
"2680020",326
"2680025",340
"2680027",344
"2680035",382
"2680044",454
"2680090",702
"2680106",758
"2680002",27
"2680040",404
"2680048",464
"2680072",598
"2680141",1237
"2680143",1386
"2680145",1562
"2680148",2342
"2680028",353
"2680029",364
"2680051",499
"2680061",546
"2680068",581
"2680013",209
"2680030",365
"2680054",507
"2680062",547
"2680015",259
"2680064",556
"2680070",586
"2680077",613
"2680092",711
"2680123",887
"2680124",891
"2680133",974
"2680135",995
"2680137",1008
"2680138",1021
"2680034",377
"2680112",792
"2680049",471
"2680003",41
"2680038",396
"2680036",387
"2680075",611
"2680116",823
"2680118",845
"2680122",887
"2680130",957
"2680001",25
"2680086",674
"2680026",342
"2690023",415
"2690002",18
"2690007",168
"2690008",179
"2690013",299
"2690015",334
"2690018",360
"2690065",1090
"2690066",1385
"2690067",1427
"2690068",1550
"2690069",2164
"2690070",2228
"2690027",475
"2690001",18
"2690010",229
"2690009",199
"2690004",62
"2690011",243
"2690029",484
"2690035",519
"2690036",552
"2690043",581
"2690053",678
"2690063",781
"2690064",843
"2690006",148
"2690033",507
"2690048",650
